Form,CSV column,Matched field label,Domain,Score,Matched
Apathy Evaluation Informant,Questionnaire completed:     Questionnaire rempli:,questionnaire completed questionnaire rempli,Admin,1.0,Yes
Apathy Evaluation Informant,What is your relationship to the person you are filling out the questionnaire fo,what is your relationship to the person you are filling out the questionnaire for quelle est votre relation avec la personne pour laquelle vous remplissez le questionnaire,Admin,1.0,Yes
Apathy Evaluation Informant,How is the questionnaire completed?     Comment le questionnaire est-il rempli?,how is the questionnaire completed comment le questionnaire est il rempli,Admin,1.0,Yes
Apathy Evaluation Informant,1. S/he is interested in things,1 s he is interested in things,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,2. S/he gets things done during the day,2 s he gets things done during the day,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,3. Getting things started on his/her own is important to him/her.,3 getting things started on his her own is important to him her,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,4. S/he is interested in having new experiences,4 s he is interested in having new experiences,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,5. S/he is interested in learning new things,5 s he is interested in learning new things,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,6. S/he puts little effort into anything,6 s he puts little effort into anything,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,7. S/he approaches life with intensity,7 s he approaches life with intensity,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,8. Seeing a job through to the end is important to him/her,8 seeing a job through to the end is important to him her,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,9. S/he spends time doing things that interest him/her,9 s he spends time doing things that interest him her,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,10. Someone has to tell him/her what to do each day,10 someone has to tell him her what to do each day,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,11. S/he is less concerned about her/his problems than s/he should be,11 s he is less concerned about her his problems than s he should be,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,12. S/he has friends,12 s he has friends,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,13. Getting together with friends is important to him/her,13 getting together with friends is important to him her,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,"14. When something good happens, s/he gets excited",14 when something good happens s he gets excited,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,15. S/he has an accurate understanding of her/his problems,15 s he has an accurate understanding of her his problems,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,16. Getting things done during the day is important to her/him,16 getting things done during the day is important to her him,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,17. S/he has initiative,17 s he has initiative,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,18. S/he has motivation,18 s he has motivation,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Informant,Apathy Scale Score,apathy scale score,Composite Scores,1.0,Yes
Apathy Evaluation Self,Questionnaire completed:     Questionnaire rempli:,questionnaire completed questionnaire rempli,Admin,1.0,Yes
Apathy Evaluation Self,How is the questionnaire completed?     Comment le questionnaire est-il rempli?,how is the questionnaire completed comment le questionnaire est il rempli,Admin,1.0,Yes
Apathy Evaluation Self,1. I am interested in things.,1 i am interested in things,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,2. I get things done during the day.,2 i get things done during the day,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,3. Getting things started on my own is important to me. ,3 getting things started on my own is important to me,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,4. I am interested in having new experiences. ,4 i am interested in having new experiences,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,5. I am interested in learning new things. ,5 i am interested in learning new things,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,6. I put little effort into anything.,6 i put little effort into anything,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,7. I approach life with intensity. ,7 i approach life with intensity,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,8. Seeing a job through to the end is important to me. ,8 seeing a job through to the end is important to me,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,9. I spend time doing things that interest me.,9 i spend time doing things that interest me,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,10. Someone has to tell me what to do each day.,10 someone has to tell me what to do each day,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,11. I am less concerned about my problems than I should be. ,11 i am less concerned about my problems than i should be,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,12. I have friends. ,12 i have friends,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,13. Getting together with friends is important to me.,13 getting together with friends is important to me,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,"14. When something good happens, I get excited. ",14 when something good happens i get excited,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,15. I have an accurate understanding of my problems. ,15 i have an accurate understanding of my problems,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,16. Getting things done during the day is important to me. ,16 getting things done during the day is important to me,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,17. I have initiative. ,17 i have initiative,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,18. I have motivation. ,18 i have motivation,Mood / Psychiatric,1.0,Yes
Apathy Evaluation Self,Apathy Scale Score,apathy scale score,Composite Scores,1.0,Yes
Apathy Scale,Questionnaire completed:     Questionnaire rempli:,questionnaire completed questionnaire rempli,Admin,1.0,Yes
Apathy Scale,How is the questionnaire completed?     Comment le questionnaire est-il rempli?,how is the questionnaire completed comment le questionnaire est il rempli,Admin,1.0,Yes
Apathy Scale,1. Are you interested in learning new things?,1 are you interested in learning new things,Mood / Psychiatric,1.0,Yes
Apathy Scale,2. Does anything interest you?,2 does anything interest you,Mood / Psychiatric,1.0,Yes
Apathy Scale,3. Are you concerned about your condition?,3 are you concerned about your condition,Mood / Psychiatric,1.0,Yes
Apathy Scale,4. Do you put much effort into things?,4 do you put much effort into things,Mood / Psychiatric,1.0,Yes
Apathy Scale,5. Are you always looking for something to do?,5 are you always looking for something to do,Mood / Psychiatric,1.0,Yes
Apathy Scale,6. Do you have plans and goals for the future?,6 do you have plans and goals for the future,Mood / Psychiatric,1.0,Yes
Apathy Scale,7. Do you have motivation?,7 do you have motivation,Mood / Psychiatric,1.0,Yes
Apathy Scale,8. Do you have the energy for daily activities?,8 do you have the energy for daily activities,Mood / Psychiatric,1.0,Yes
Apathy Scale,9. Does someone have to tell you what to do each day?,9 does someone have to tell you what to do each day,Mood / Psychiatric,1.0,Yes
Apathy Scale,10. Are you indifferent to things?,10 are you indifferent to things,Mood / Psychiatric,1.0,Yes
Apathy Scale,11. Are you unconcerned with many things?,11 are you unconcerned with many things,Mood / Psychiatric,1.0,Yes
Apathy Scale,12. Do you need a push to get started on things?,12 do you need a push to get started on things,Mood / Psychiatric,1.0,Yes
Apathy Scale,"13. Are you neither happy nor sad, just in between?",13 are you neither happy nor sad just in between,Mood / Psychiatric,1.0,Yes
Apathy Scale,14. Would you consider yourself apathetic?,14 would you consider yourself apathetic,Mood / Psychiatric,1.0,Yes
Apathy Scale,Apathy Scale Score,apathy scale score,Composite Scores,1.0,Yes
BAI,Tests completed:     Tests complétés:  ,tests completed tests complétés,Admin,1.0,Yes
